                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.6941,                   1.78,                 1.1613,                0.91245,                0.59484,                0.64645,                0.26565,                 2.0547,                 1.4638,                 1.0245,               0.068256,              0.0022556,              0.0022556
                     35,                 2.3247,                 1.4491,                 1.1001,                0.91245,                0.59484,                0.64645,                0.26565,                 2.0547,                 1.4638,                 1.0245,               0.067287,              0.0022873,              0.0022873
                     36,                 2.4812,                 1.4287,                 1.1376,                0.90924,                0.57457,                0.66685,                0.24224,                 2.2166,                 1.7973,                 1.0424,               0.066317,               0.002317,               0.002317
                     37,                 3.2227,                 1.8929,                 1.1357,                0.90924,                0.57457,                0.66685,                0.24224,                 2.2166,                 1.7973,                 1.0424,               0.065345,              0.0023447,              0.0023447
                     38,                 2.0403,                 1.2616,                 1.0848,                0.77293,                0.64546,                0.67426,                0.25554,                 2.1794,                  1.432,                 1.0268,                0.06437,              0.0023704,              0.0023704
                     39,                 2.0526,                 1.3037,                 1.0375,                0.77293,                0.64546,                0.67426,                0.25554,                 2.1794,                  1.432,                 1.0268,               0.063394,              0.0023942,              0.0023942
                     40,                 1.9996,                 1.2422,                 1.0301,                0.91101,                0.59486,                0.69892,                0.23847,                 2.2694,                 2.3494,                  1.038,               0.062416,               0.002416,               0.002416
                     41,                  2.126,                 1.6022,                 1.1918,                0.91101,                0.59486,                0.69892,                0.23847,                 2.2694,                 2.3494,                  1.038,               0.061436,              0.0024358,              0.0024358
                     42,                 1.9269,                 1.3811,                 1.0168,                0.59756,                0.69743,                0.69198,                0.25498,                 2.1327,                 1.2078,                 1.0135,               0.060454,              0.0024536,              0.0024536
                     43,                 2.2246,                 1.4326,                 1.0002,                0.59756,                0.69743,                0.69198,                0.25498,                 2.1327,                 1.2078,                 1.0135,               0.059469,              0.0024695,              0.0024695
                     44,                 1.8459,                 1.1933,                0.96219,                 0.9241,                0.63993,                0.75268,                0.26722,                 2.1332,                 1.5227,                 1.0178,               0.058483,              0.0024834,              0.0024834
                     45,                 2.0222,                 1.2868,                0.96062,                 0.9241,                0.63993,                0.75268,                0.26722,                 2.1332,                 1.5227,                 1.0178,               0.057495,              0.0024953,              0.0024953
                     46,                 2.0032,                 1.1936,                 1.1176,                0.81107,                0.69881,                0.77577,                0.33771,                 1.9245,                 1.2654,                0.97837,               0.056505,              0.0025052,              0.0025052
                     47,                  2.163,                 1.2257,                 1.0337,                0.81107,                0.69881,                0.77577,                0.33771,                 1.9245,                 1.2654,                0.97837,               0.055513,              0.0025131,              0.0025131
                     48,                 2.3602,                 1.1394,                0.99874,                0.76219,                0.76759,                 0.8135,                0.34604,                 1.8984,                 1.1593,                0.96658,               0.054519,               0.002519,               0.002519
                     49,                 1.8895,                 1.0764,                0.98041,                0.76219,                0.76759,                 0.8135,                0.34604,                 1.8984,                 1.1593,                0.96658,               0.053523,               0.002523,               0.002523
                     50,                 1.9008,                 1.0714,                 1.0034,                0.72604,                0.70161,                0.79169,                0.34265,                 1.9184,                 1.2331,                 0.9667,               0.052525,               0.002525,               0.002525
                     51,                 1.9465,                  1.215,                0.97989,                0.72604,                0.70161,                0.79169,                0.34265,                 1.9184,                 1.2331,                 0.9667,               0.051525,               0.002525,               0.002525
                     52,                 1.8224,                 1.0334,                0.96182,                0.72604,                0.70161,                0.79169,                0.34265,                 1.9184,                 1.2331,                 0.9667,               0.050523,               0.002523,               0.002523
                     53,                  1.757,                 1.0652,                0.99866,                0.83676,                0.65656,                 0.7739,                0.34435,                 1.8836,                 1.3273,                0.96875,               0.049519,              0.0025191,              0.0025191
                     54,                 1.9073,                 1.1301,                0.95612,                0.83676,                0.65656,                 0.7739,                0.34435,                 1.8836,                 1.3273,                0.96875,               0.048513,              0.0025132,              0.0025132
                     55,                 1.6538,                0.98809,                0.96718,                0.83676,                0.65656,                 0.7739,                0.34435,                 1.8836,                 1.3273,                0.96875,               0.047505,              0.0025053,              0.0025053
                     56,                 2.0041,                 1.1781,                0.96561,                0.76595,                0.72501,                0.83147,                0.35795,                  1.929,                 1.1168,                0.96442,               0.046495,              0.0024954,              0.0024954
                     57,                  1.704,                 1.0498,                0.96584,                0.76595,                0.72501,                0.83147,                0.35795,                  1.929,                 1.1168,                0.96442,               0.045483,              0.0024835,              0.0024835
                     58,                 1.9327,                 1.1569,                0.99565,                0.76595,                0.72501,                0.83147,                0.35795,                  1.929,                 1.1168,                0.96442,                0.04447,              0.0024696,              0.0024696
                     59,                 1.6889,                 1.0771,                0.91717,                0.96561,                0.63533,                0.85413,                0.38721,                 1.8403,                 1.3039,                0.95613,               0.043454,              0.0024538,              0.0024538
                     60,                 1.7331,                0.90725,                0.95041,                0.96561,                0.63533,                0.85413,                0.38721,                 1.8403,                 1.3039,                0.95613,               0.042436,               0.002436,               0.002436
                     61,                 1.7509,                0.98619,                0.96343,                0.96561,                0.63533,                0.85413,                0.38721,                 1.8403,                 1.3039,                0.95613,               0.041416,              0.0024162,              0.0024162
                     62,                 1.8789,                0.96167,                 1.0254,                0.93814,                0.66311,                0.87869,                0.41671,                  1.783,                  1.226,                0.95269,               0.040394,              0.0023944,              0.0023944
                     63,                 1.8045,                0.94017,                0.95413,                0.93814,                0.66311,                0.87869,                0.41671,                  1.783,                  1.226,                0.95269,               0.039371,              0.0023707,              0.0023707
                     64,                 1.8045,                 0.9845,                 1.0044,                0.93814,                0.66311,                0.87869,                0.41671,                  1.783,                  1.226,                0.95269,               0.038345,               0.002345,               0.002345
                     65,                 1.6808,                 0.8884,                0.97137,                0.74499,                0.82253,                 0.9172,                0.42645,                 1.8193,                 1.0223,                0.95655,               0.037317,              0.0023172,              0.0023172
                     66,                 1.7525,                0.94108,                0.99798,                0.74499,                0.82253,                 0.9172,                0.42645,                 1.8193,                 1.0223,                0.95655,               0.036288,              0.0022876,              0.0022876
                     67,                 1.7605,                0.91454,                0.94795,                0.74499,                0.82253,                 0.9172,                0.42645,                 1.8193,                 1.0223,                0.95655,               0.035256,              0.0022559,              0.0022559
                     68,                 1.6123,                0.88294,                0.98045,                0.81219,                 0.8321,                0.95175,                0.46493,                 1.7633,                 1.1744,                0.94623,               0.034222,              0.0022222,              0.0022222
                     69,                 1.8056,                0.98458,                0.98915,                0.81219,                 0.8321,                0.95175,                0.46493,                 1.7633,                 1.1744,                0.94623,               0.033187,              0.0021866,              0.0021866
                     70,                 1.7473,                0.93748,                0.96372,                0.81219,                 0.8321,                0.95175,                0.46493,                 1.7633,                 1.1744,                0.94623,               0.032149,               0.002149,               0.002149
                     71,                 2.0602,                 1.0475,                0.92807,                0.88062,                0.83045,                 0.9703,                0.49451,                 1.7283,                0.89551,                0.93302,               0.031109,              0.0021094,              0.0021094
                     72,                 1.8893,                0.96977,                0.97468,                0.88062,                0.83045,                 0.9703,                0.49451,                 1.7283,                0.89551,                0.93302,               0.030068,              0.0020678,              0.0020678
                     73,                 1.7613,                0.92262,                0.95674,                0.88062,                0.83045,                 0.9703,                0.49451,                 1.7283,                0.89551,                0.93302,               0.029024,              0.0020243,              0.0020243
                     74,                  1.807,                0.92078,                0.99266,                0.81917,                0.86484,                0.96119,                0.46397,                 1.8285,                0.87454,                0.95032,               0.027979,              0.0019788,              0.0019788
                     75,                 1.8318,                0.94378,                0.93464,                0.81917,                0.86484,                0.96119,                0.46397,                 1.8285,                0.87454,                0.95032,               0.026931,              0.0019313,              0.0019313
                     76,                 1.6447,                0.85077,                 1.0079,                0.81917,                0.86484,                0.96119,                0.46397,                 1.8285,                0.87454,                0.95032,               0.025882,              0.0018818,              0.0018818
                     77,                 1.7363,                0.92362,                0.96244,                0.81756,                0.89394,                0.97451,                0.47231,                 1.8165,                0.95875,                0.94519,                0.02483,              0.0018303,              0.0018303
                     78,                  1.669,                0.84386,                0.94983,                0.81756,                0.89394,                0.97451,                0.47231,                 1.8165,                0.95875,                0.94519,               0.023777,              0.0017768,              0.0017768
                     79,                 1.6797,                0.82217,                0.92787,                0.81756,                0.89394,                0.97451,                0.47231,                 1.8165,                0.95875,                0.94519,               0.022721,              0.0017214,              0.0017214
                     80,                 1.6513,                0.82078,                0.96494,                0.82747,                0.95631,                 0.9738,                0.46859,                 1.7458,                 0.8769,                0.93911,               0.021664,               0.001664,               0.001664
                     81,                  2.378,                 1.1596,                0.94692,                0.82747,                0.95631,                 0.9738,                0.46859,                 1.7458,                 0.8769,                0.93911,               0.020605,              0.0016046,              0.0016046
                     82,                  1.764,                0.88807,                 0.9645,                0.82747,                0.95631,                 0.9738,                0.46859,                 1.7458,                 0.8769,                0.93911,               0.019543,              0.0015432,              0.0015432
                     83,                 1.6663,                0.82406,                0.96975,                0.91186,                0.97585,                0.97633,                0.48211,                 1.7426,                0.82709,                0.93406,                0.01848,              0.0014799,              0.0014799
                     84,                 1.7217,                 0.8302,                0.89279,                0.91186,                0.97585,                0.97633,                0.48211,                 1.7426,                0.82709,                0.93406,               0.017415,              0.0014146,              0.0014146
                     85,                 1.6205,                0.76904,                0.97936,                0.91186,                0.97585,                0.97633,                0.48211,                 1.7426,                0.82709,                0.93406,               0.016347,              0.0013473,              0.0013473
                     86,                 1.8051,                0.90751,                0.89751,                0.91186,                0.97585,                0.97633,                0.48211,                 1.7426,                0.82709,                0.93406,               0.015278,               0.001278,               0.001278
